"city","country","pop2024","latitude","longitude"
"Lagos","Nigeria",9000000,6.45407,3.39467
"Kano","Nigeria",3626068,12.0001,8.51672
"Ibadan","Nigeria",3565108,7.37756,3.90591
"Kaduna","Nigeria",1582102,10.5264,7.43879
"Port Harcourt","Nigeria",1148665,4.77742,7.0134
"Benin City","Nigeria",1125058,6.33815,5.62575
"Maiduguri","Nigeria",1112449,11.8469,13.1571
"Zaria","Nigeria",975153,11.1113,7.7227
"Aba","Nigeria",897560,5.10658,7.36667
"Jos","Nigeria",816824,9.92849,8.89212
"Ilorin","Nigeria",814192,8.49664,4.54214
"Oyo","Nigeria",736072,7.85257,3.93125
"Enugu","Nigeria",688862,6.44132,7.49883
"Abeokuta","Nigeria",593100,7.15571,3.34509
"Abuja","Nigeria",590400,9.05785,7.49508
"Sokoto","Nigeria",563861,13.0627,5.24322
"Onitsha","Nigeria",561066,6.14978,6.78569
"Warri","Nigeria",536023,5.51737,5.75006
"Ebute Ikorodu","Nigeria",535619,6.60086,3.48818
"Okene","Nigeria",479178,7.55122,6.23589
"Calabar","Nigeria",461796,4.95893,8.32695
"Uyo","Nigeria",436606,5.05127,7.9335
"Katsina","Nigeria",432149,12.9908,7.60177
"Ado-Ekiti","Nigeria",424340,7.62329,5.22087
"Akure","Nigeria",420594,7.25256,5.19312
"Bauchi","Nigeria",316149,10.3103,9.84388
"Ikeja","Nigeria",313196,6.59651,3.34205
"Makurdi","Nigeria",292645,7.73375,8.52139
"Minna","Nigeria",291905,9.61524,6.54776
"Efon-Alaaye","Nigeria",279319,7.65649,4.92235
"Ilesa","Nigeria",277904,7.62789,4.74161
"Owo","Nigeria",276574,7.1962,5.58681
"Umuahia","Nigeria",264662,5.52491,7.49461
"Ondo","Nigeria",257005,7.09316,4.83528
"Ikot Ekpene","Nigeria",254806,5.18194,7.71481
"Iwo","Nigeria",250443,7.63527,4.18156
"Gombe","Nigeria",250258,10.2897,11.1673
"Jimeta","Nigeria",248148,9.27949,12.4582
"Atani","Nigeria",230000,6.01277,6.74768
"Gusau","Nigeria",226857,12.1702,6.66412
"Mubi","Nigeria",225705,10.2686,13.267
"Ikire","Nigeria",222160,7.37241,4.18739
"Owerri","Nigeria",215038,5.48363,7.03325
"Shagamu","Nigeria",214558,6.8485,3.64633
"Ijebu-Ode","Nigeria",209175,6.81944,3.91731
"Ugep","Nigeria",200276,5.80865,8.08098
"Nnewi","Nigeria",193987,6.01962,6.91729
"Ise-Ekiti","Nigeria",190063,7.46478,5.42333
"Ila Orangun","Nigeria",179192,8.01714,4.90421
"Saki","Nigeria",178677,8.66762,3.39393
"Bida","Nigeria",171656,9.08044,6.0099
"Awka","Nigeria",167738,6.21269,7.07199
"Ijero-Ekiti","Nigeria",167632,7.81514,5.06716
"Inisa","Nigeria",164161,7.85,4.33333
"Suleja","Nigeria",162135,9.18059,7.17939
"Sapele","Nigeria",161686,5.89405,5.67666
"Osogbo","Nigeria",156694,7.77104,4.55698
"Kisi","Nigeria",155510,9.08297,3.85196
"Gbongan","Nigeria",139485,7.47734,4.35351
"Ejigbo","Nigeria",138357,7.90292,4.31419
"Funtua","Nigeria",136811,11.5235,7.31174
"Igboho","Nigeria",136764,8.83784,3.75628
"Buguma","Nigeria",135404,4.73614,6.86236
"Ikirun","Nigeria",134240,7.91283,4.66741
"Abakaliki","Nigeria",134102,6.32485,8.11368
"Okrika","Nigeria",133271,4.74215,7.08368
"Amaigbo","Nigeria",127300,5.78917,7.83829
"Lafia","Nigeria",127236,8.4939,8.51532
"Gashua","Nigeria",125817,12.874,11.0406
"Modakeke","Nigeria",119529,7.38333,4.26667
"Bama","Nigeria",118121,11.5213,13.6895
"Ilobu","Nigeria",118089,7.84036,4.48557
"Jalingo","Nigeria",117757,8.89367,11.3596
"Okigwe","Nigeria",115499,5.82917,7.35056
"Offa","Nigeria",113830,8.14911,4.72074
"Esuk Oron","Nigeria",112033,4.80293,8.25341
"Nsukka","Nigeria",111017,6.85783,7.39577
"Nguru","Nigeria",111014,12.877,10.4554
"Hadejia","Nigeria",110753,12.4535,10.0412
"Ijebu-Igbo","Nigeria",109261,6.97198,3.99938
"Uromi","Nigeria",108608,6.7,6.33333
"Birnin Kebbi","Nigeria",108164,12.4539,4.1975
"Pindiga","Nigeria",106322,9.98433,10.9523
"Azare","Nigeria",105687,11.6748,10.1907
"Nkpor","Nigeria",103733,6.15038,6.83042
"Ikere-Ekiti","Nigeria",103054,7.49748,5.23041
"Lafiagi","Nigeria",102779,8.85299,5.41641
"Kontagora","Nigeria",98754,10.4032,5.4708
"Kuje","Nigeria",97367,8.87952,7.22756
"Yola","Nigeria",96006,9.20839,12.4815
"Biu","Nigeria",95005,10.6129,12.1946
"Olupona","Nigeria",95002,7.6,4.18333
"Lere","Nigeria",93290,10.3858,8.57286
"Wukari","Nigeria",92933,7.87139,9.77786
"Igbo-Ora","Nigeria",92719,7.43383,3.28788
"Emure-Ekiti","Nigeria",90645,7.43636,5.45925
"Isieke","Nigeria",89990,6.38186,8.03736
"Ifo","Nigeria",88272,6.81491,3.19518
"Igede-Ekiti","Nigeria",87282,7.6685,5.12627
"Effium","Nigeria",86945,6.63105,8.05814
"Idanre","Nigeria",86468,7.1127,5.1159
"Potiskum","Nigeria",86002,11.7139,11.0811
"Keffi","Nigeria",85911,8.84651,7.87354
