city_id,city,country,population,latitude,longitude,region
1,Lagos,Nigeria,9000000,6.45407,3.39467,South
2,Kano,Nigeria,3626068,12.0001,8.51672,North
3,Ibadan,Nigeria,3565108,7.37756,3.90591,South
4,Kaduna,Nigeria,1582102,10.5264,7.43879,North
5,Port Harcourt,Nigeria,1148665,4.77742,7.0134,South
6,Benin City,Nigeria,1125058,6.33815,5.62575,South
7,Maiduguri,Nigeria,1112449,11.8469,13.1571,North
8,Zaria,Nigeria,975153,11.1113,7.7227,North
9,Aba,Nigeria,897560,5.10658,7.36667,South
10,Jos,Nigeria,816824,9.92849,8.89212,South
11,Ilorin,Nigeria,814192,8.49664,4.54214,South
12,Oyo,Nigeria,736072,7.85257,3.93125,South
13,Enugu,Nigeria,688862,6.44132,7.49883,South
14,Abeokuta,Nigeria,593100,7.15571,3.34509,South
15,Abuja,Nigeria,590400,9.05785,7.49508,South
16,Sokoto,Nigeria,563861,13.0627,5.24322,North
17,Onitsha,Nigeria,561066,6.14978,6.78569,South
18,Warri,Nigeria,536023,5.51737,5.75006,South
19,Ebute Ikorodu,Nigeria,535619,6.60086,3.48818,South
20,Okene,Nigeria,479178,7.55122,6.23589,South
21,Calabar,Nigeria,461796,4.95893,8.32695,South
22,Uyo,Nigeria,436606,5.05127,7.9335,South
23,Katsina,Nigeria,432149,12.9908,7.60177,North
24,Ado-Ekiti,Nigeria,424340,7.62329,5.22087,South
25,Akure,Nigeria,420594,7.25256,5.19312,South
26,Bauchi,Nigeria,316149,10.3103,9.84388,North
27,Ikeja,Nigeria,313196,6.59651,3.34205,South
28,Makurdi,Nigeria,292645,7.73375,8.52139,South
29,Minna,Nigeria,291905,9.61524,6.54776,South
30,Efon-Alaaye,Nigeria,279319,7.65649,4.92235,South
31,Ilesa,Nigeria,277904,7.62789,4.74161,South
32,Owo,Nigeria,276574,7.1962,5.58681,South
33,Umuahia,Nigeria,264662,5.52491,7.49461,South
34,Ondo,Nigeria,257005,7.09316,4.83528,South
35,Ikot Ekpene,Nigeria,254806,5.18194,7.71481,South
36,Iwo,Nigeria,250443,7.63527,4.18156,South
37,Gombe,Nigeria,250258,10.2897,11.1673,North
38,Jimeta,Nigeria,248148,9.27949,12.4582,South
39,Atani,Nigeria,230000,6.01277,6.74768,South
40,Gusau,Nigeria,226857,12.1702,6.66412,North
41,Mubi,Nigeria,225705,10.2686,13.267,North
42,Ikire,Nigeria,222160,7.37241,4.18739,South
43,Owerri,Nigeria,215038,5.48363,7.03325,South
44,Shagamu,Nigeria,214558,6.8485,3.64633,South
45,Ijebu-Ode,Nigeria,209175,6.81944,3.91731,South
46,Ugep,Nigeria,200276,5.80865,8.08098,South
47,Nnewi,Nigeria,193987,6.01962,6.91729,South
48,Ise-Ekiti,Nigeria,190063,7.46478,5.42333,South
49,Ila Orangun,Nigeria,179192,8.01714,4.90421,South
50,Saki,Nigeria,178677,8.66762,3.39393,South
51,Bida,Nigeria,171656,9.08044,6.0099,South
52,Awka,Nigeria,167738,6.21269,7.07199,South
53,Ijero-Ekiti,Nigeria,167632,7.81514,5.06716,South
54,Inisa,Nigeria,164161,7.85,4.33333,South
55,Suleja,Nigeria,162135,9.18059,7.17939,South
56,Sapele,Nigeria,161686,5.89405,5.67666,South
57,Osogbo,Nigeria,156694,7.77104,4.55698,South
58,Kisi,Nigeria,155510,9.08297,3.85196,South
59,Gbongan,Nigeria,139485,7.47734,4.35351,South
60,Ejigbo,Nigeria,138357,7.90292,4.31419,South
61,Funtua,Nigeria,136811,11.5235,7.31174,North
62,Igboho,Nigeria,136764,8.83784,3.75628,South
63,Buguma,Nigeria,135404,4.73614,6.86236,South
64,Ikirun,Nigeria,134240,7.91283,4.66741,South
65,Abakaliki,Nigeria,134102,6.32485,8.11368,South
66,Okrika,Nigeria,133271,4.74215,7.08368,South
67,Amaigbo,Nigeria,127300,5.78917,7.83829,South
68,Lafia,Nigeria,127236,8.4939,8.51532,South
69,Gashua,Nigeria,125817,12.874,11.0406,North
70,Modakeke,Nigeria,119529,7.38333,4.26667,South
71,Bama,Nigeria,118121,11.5213,13.6895,North
72,Ilobu,Nigeria,118089,7.84036,4.48557,South
73,Jalingo,Nigeria,117757,8.89367,11.3596,South
74,Okigwe,Nigeria,115499,5.82917,7.35056,South
75,Offa,Nigeria,113830,8.14911,4.72074,South
76,Esuk Oron,Nigeria,112033,4.80293,8.25341,South
77,Nsukka,Nigeria,111017,6.85783,7.39577,South
78,Nguru,Nigeria,111014,12.877,10.4554,North
79,Hadejia,Nigeria,110753,12.4535,10.0412,North
80,Ijebu-Igbo,Nigeria,109261,6.97198,3.99938,South
81,Uromi,Nigeria,108608,6.7,6.33333,South
82,Birnin Kebbi,Nigeria,108164,12.4539,4.1975,North
83,Pindiga,Nigeria,106322,9.98433,10.9523,South
84,Azare,Nigeria,105687,11.6748,10.1907,North
85,Nkpor,Nigeria,103733,6.15038,6.83042,South
86,Ikere-Ekiti,Nigeria,103054,7.49748,5.23041,South
87,Lafiagi,Nigeria,102779,8.85299,5.41641,South
88,Kontagora,Nigeria,98754,10.4032,5.4708,North
89,Kuje,Nigeria,97367,8.87952,7.22756,South
90,Yola,Nigeria,96006,9.20839,12.4815,South
91,Biu,Nigeria,95005,10.6129,12.1946,North
92,Olupona,Nigeria,95002,7.6,4.18333,South
93,Lere,Nigeria,93290,10.3858,8.57286,North
94,Wukari,Nigeria,92933,7.87139,9.77786,South
